run,tag,step,wall_time,value
baseline_cnn_20260602-0000_v1,train/samples,14,1780352683.9304209,64438.0
baseline_cnn_20260602-0000_v1,train/samples,15,1780352778.1476314,64438.0
baseline_cnn_20260602-0000_v1,train/samples,16,1780352871.950996,64438.0
baseline_cnn_20260602-0000_v1,train/samples,17,1780352965.7413158,64438.0
baseline_cnn_20260602-0000_v1,train/samples,18,1780353059.8755026,64438.0
baseline_cnn_20260602-0000_v1,train/samples,19,1780353154.3770933,64438.0
baseline_cnn_20260602-0000_v1,train/samples,20,1780353248.5611806,64438.0
baseline_cnn_20260602-0000_v1,train/samples,21,1780353342.5859623,64438.0
baseline_cnn_20260602-0000_v1,train/samples,22,1780353436.7472634,64438.0
baseline_cnn_20260602-0000_v1,train/samples,23,1780353531.054475,64438.0
baseline_cnn_20260602-0000_v1,train/samples,24,1780353624.9404871,64438.0
baseline_cnn_20260602-0000_v1,train/top1,0,1780351356.287373,0.06381327658891678
baseline_cnn_20260602-0000_v1,train/top1,1,1780351450.8523684,0.138924241065979
baseline_cnn_20260602-0000_v1,train/top1,2,1780351545.2340264,0.1991216391324997
baseline_cnn_20260602-0000_v1,train/top1,3,1780351638.6673799,0.2527235448360443
baseline_cnn_20260602-0000_v1,train/top1,4,1780351732.8140843,0.3068530857563019
baseline_cnn_20260602-0000_v1,train/top1,5,1780351831.4092665,0.3513454794883728
baseline_cnn_20260602-0000_v1,train/top1,6,1780351931.5719273,0.38969242572784424
baseline_cnn_20260602-0000_v1,train/top1,7,1780352025.3634512,0.41779693961143494
baseline_cnn_20260602-0000_v1,train/top1,8,1780352119.6596391,0.4467705488204956
baseline_cnn_20260602-0000_v1,train/top1,9,1780352213.8174548,0.46694496273994446
baseline_cnn_20260602-0000_v1,train/top1,10,1780352307.591583,0.48741427063941956
baseline_cnn_20260602-0000_v1,train/top1,11,1780352401.5871987,0.5023433566093445
baseline_cnn_20260602-0000_v1,train/top1,12,1780352495.8766909,0.5185915231704712
baseline_cnn_20260602-0000_v1,train/top1,13,1780352590.275498,0.5298271179199219
baseline_cnn_20260602-0000_v1,train/top1,14,1780352683.9304075,0.5424438714981079
baseline_cnn_20260602-0000_v1,train/top1,15,1780352778.147616,0.5524380207061768
baseline_cnn_20260602-0000_v1,train/top1,16,1780352871.9509811,0.5595611333847046
baseline_cnn_20260602-0000_v1,train/top1,17,1780352965.7413023,0.5712002515792847
baseline_cnn_20260602-0000_v1,train/top1,18,1780353059.8754885,0.5780285000801086
baseline_cnn_20260602-0000_v1,train/top1,19,1780353154.3770797,0.5801079869270325
baseline_cnn_20260602-0000_v1,train/top1,20,1780353248.5611663,0.5903503894805908
baseline_cnn_20260602-0000_v1,train/top1,21,1780353342.585947,0.5943542718887329
baseline_cnn_20260602-0000_v1,train/top1,22,1780353436.7472498,0.5980166792869568
baseline_cnn_20260602-0000_v1,train/top1,23,1780353531.0544598,0.6036810874938965
baseline_cnn_20260602-0000_v1,train/top1,24,1780353624.940473,0.6085695028305054
baseline_cnn_20260602-0000_v1,train/top5,0,1780351356.2873816,0.2088519185781479
baseline_cnn_20260602-0000_v1,train/top5,1,1780351450.8523762,0.3646605908870697
baseline_cnn_20260602-0000_v1,train/top5,2,1780351545.2340329,0.4606908857822418
baseline_cnn_20260602-0000_v1,train/top5,3,1780351638.6673865,0.5362673997879028
baseline_cnn_20260602-0000_v1,train/top5,4,1780351732.814091,0.6009342074394226
baseline_cnn_20260602-0000_v1,train/top5,5,1780351831.4092731,0.6463732719421387
baseline_cnn_20260602-0000_v1,train/top5,6,1780351931.5719352,0.6821285486221313
baseline_cnn_20260602-0000_v1,train/top5,7,1780352025.3634574,0.7100468873977661
baseline_cnn_20260602-0000_v1,train/top5,8,1780352119.6596456,0.732626736164093
baseline_cnn_20260602-0000_v1,train/top5,9,1780352213.8174617,0.7481610178947449
baseline_cnn_20260602-0000_v1,train/top5,10,1780352307.5915892,0.7657593488693237
baseline_cnn_20260602-0000_v1,train/top5,11,1780352401.5872056,0.7755516767501831
baseline_cnn_20260602-0000_v1,train/top5,12,1780352495.8766973,0.7879977822303772
baseline_cnn_20260602-0000_v1,train/top5,13,1780352590.2755044,0.793925940990448
baseline_cnn_20260602-0000_v1,train/top5,14,1780352683.9304135,0.803144097328186
baseline_cnn_20260602-0000_v1,train/top5,15,1780352778.1476235,0.8101896643638611
baseline_cnn_20260602-0000_v1,train/top5,16,1780352871.950988,0.814628005027771
baseline_cnn_20260602-0000_v1,train/top5,17,1780352965.7413085,0.8213787078857422
baseline_cnn_20260602-0000_v1,train/top5,18,1780353059.8754952,0.8263136744499207
baseline_cnn_20260602-0000_v1,train/top5,19,1780353154.3770857,0.8280983567237854
baseline_cnn_20260602-0000_v1,train/top5,20,1780353248.5611727,0.8356870412826538
baseline_cnn_20260602-0000_v1,train/top5,21,1780353342.585954,0.8382941484451294
baseline_cnn_20260602-0000_v1,train/top5,22,1780353436.747256,0.8414755463600159
baseline_cnn_20260602-0000_v1,train/top5,23,1780353531.054466,0.8437412977218628
baseline_cnn_20260602-0000_v1,train/top5,24,1780353624.9404795,0.8463794589042664
baseline_cnn_20260602-0000_v1,validation/loss,0,1780351356.2874064,4.139594078063965
baseline_cnn_20260602-0000_v1,validation/loss,1,1780351450.8523996,3.9132442474365234
baseline_cnn_20260602-0000_v1,validation/loss,2,1780351545.234054,3.789860963821411
baseline_cnn_20260602-0000_v1,validation/loss,3,1780351638.6674092,3.8413052558898926
baseline_cnn_20260602-0000_v1,validation/loss,4,1780351732.8141122,3.358996868133545
baseline_cnn_20260602-0000_v1,validation/loss,5,1780351831.4092958,3.2577381134033203
baseline_cnn_20260602-0000_v1,validation/loss,6,1780351931.5719597,3.0811409950256348
baseline_cnn_20260602-0000_v1,validation/loss,7,1780352025.363478,2.94828200340271
baseline_cnn_20260602-0000_v1,validation/loss,8,1780352119.659667,2.9443862438201904
baseline_cnn_20260602-0000_v1,validation/loss,9,1780352213.817483,2.5950896739959717
baseline_cnn_20260602-0000_v1,validation/loss,10,1780352307.5916104,2.7260615825653076
baseline_cnn_20260602-0000_v1,validation/loss,11,1780352401.5872266,2.593492269515991
baseline_cnn_20260602-0000_v1,validation/loss,12,1780352495.8767183,2.5279529094696045
baseline_cnn_20260602-0000_v1,validation/loss,13,1780352590.2755284,2.5618174076080322
baseline_cnn_20260602-0000_v1,validation/loss,14,1780352683.9304342,2.4719624519348145
baseline_cnn_20260602-0000_v1,validation/loss,15,1780352778.1476445,2.509185314178467
baseline_cnn_20260602-0000_v1,validation/loss,16,1780352871.9510093,2.3985047340393066
baseline_cnn_20260602-0000_v1,validation/loss,17,1780352965.7413292,2.466437816619873
baseline_cnn_20260602-0000_v1,validation/loss,18,1780353059.8755155,2.4289004802703857
baseline_cnn_20260602-0000_v1,validation/loss,19,1780353154.3771067,2.4203898906707764
baseline_cnn_20260602-0000_v1,validation/loss,20,1780353248.5611942,2.4461452960968018
baseline_cnn_20260602-0000_v1,validation/loss,21,1780353342.5859764,2.3328607082366943
baseline_cnn_20260602-0000_v1,validation/loss,22,1780353436.7472765,2.464057207107544
baseline_cnn_20260602-0000_v1,validation/loss,23,1780353531.0544877,2.2658681869506836
baseline_cnn_20260602-0000_v1,validation/loss,24,1780353624.940501,2.3167471885681152
baseline_cnn_20260602-0000_v1,validation/samples,0,1780351356.2874203,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,1,1780351450.852413,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,2,1780351545.2340696,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,3,1780351638.6674237,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,4,1780351732.8141272,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,5,1780351831.4093099,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,6,1780351931.5719736,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,7,1780352025.3634923,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,8,1780352119.6596806,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,9,1780352213.8174963,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,10,1780352307.5916228,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,11,1780352401.5872386,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,12,1780352495.8767314,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,13,1780352590.2755408,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,14,1780352683.9304473,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,15,1780352778.1476598,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,16,1780352871.9510226,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,17,1780352965.7413425,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,18,1780353059.8755276,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,19,1780353154.3771183,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,20,1780353248.5612075,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,21,1780353342.5859911,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,22,1780353436.747291,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,23,1780353531.054501,11312.0
baseline_cnn_20260602-0000_v1,validation/samples,24,1780353624.9405158,11312.0
baseline_cnn_20260602-0000_v1,validation/top1,0,1780351356.287411,0.08424681425094604
baseline_cnn_20260602-0000_v1,validation/top1,1,1780351450.852404,0.1417963206768036
baseline_cnn_20260602-0000_v1,validation/top1,2,1780351545.2340589,0.16752122342586517
baseline_cnn_20260602-0000_v1,validation/top1,3,1780351638.667414,0.17600777745246887
baseline_cnn_20260602-0000_v1,validation/top1,4,1780351732.8141184,0.27395686507225037
baseline_cnn_20260602-0000_v1,validation/top1,5,1780351831.4093008,0.34370580315589905
baseline_cnn_20260602-0000_v1,validation/top1,6,1780351931.5719645,0.35272276401519775
baseline_cnn_20260602-0000_v1,validation/top1,7,1780352025.3634832,0.4010784924030304
baseline_cnn_20260602-0000_v1,validation/top1,8,1780352119.6596715,0.3924151360988617
baseline_cnn_20260602-0000_v1,validation/top1,9,1780352213.8174877,0.5048620700836182
baseline_cnn_20260602-0000_v1,validation/top1,10,1780352307.591615,0.45288190245628357
baseline_cnn_20260602-0000_v1,validation/top1,11,1780352401.5872307,0.5031824707984924
baseline_cnn_20260602-0000_v1,validation/top1,12,1780352495.8767226,0.5266973376274109
baseline_cnn_20260602-0000_v1,validation/top1,13,1780352590.2755325,0.509105384349823
baseline_cnn_20260602-0000_v1,validation/top1,14,1780352683.9304388,0.5327086448669434
baseline_cnn_20260602-0000_v1,validation/top1,15,1780352778.147649,0.5250176787376404
baseline_cnn_20260602-0000_v1,validation/top1,16,1780352871.9510136,0.5600247383117676
baseline_cnn_20260602-0000_v1,validation/top1,17,1780352965.7413335,0.533769428730011
baseline_cnn_20260602-0000_v1,validation/top1,18,1780353059.8755198,0.5509193539619446
