true_label,apple_pie,baby_back_ribs,baklava,beef_carpaccio,beef_tartare,beet_salad,beignets,bibimbap,bread_pudding,breakfast_burrito,bruschetta,caesar_salad,cannoli,caprese_salad,carrot_cake,ceviche,cheesecake,cheese_plate,chicken_curry,chicken_quesadilla,chicken_wings,chocolate_cake,chocolate_mousse,churros,clam_chowder,club_sandwich,crab_cakes,creme_brulee,croque_madame,cup_cakes,deviled_eggs,donuts,dumplings,edamame,eggs_benedict,escargots,falafel,filet_mignon,fish_and_chips,foie_gras,french_fries,french_onion_soup,french_toast,fried_calamari,fried_rice,frozen_yogurt,garlic_bread,gnocchi,greek_salad,grilled_cheese_sandwich,grilled_salmon,guacamole,gyoza,hamburger,hot_and_sour_soup,hot_dog,huevos_rancheros,hummus,ice_cream,lasagna,lobster_bisque,lobster_roll_sandwich,macaroni_and_cheese,macarons,miso_soup,mussels,nachos,omelette,onion_rings,oysters,pad_thai,paella,pancakes,panna_cotta,peking_duck,pho,pizza,pork_chop,poutine,prime_rib,pulled_pork_sandwich,ramen,ravioli,red_velvet_cake,risotto,samosa,sashimi,scallops,seaweed_salad,shrimp_and_grits,spaghetti_bolognese,spaghetti_carbonara,spring_rolls,steak,strawberry_shortcake,sushi,tacos,takoyaki,tiramisu,tuna_tartare,waffles
chicken_wings,0.0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,124.0,7.0,1.0,12.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,10.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
chocolate_cake,0.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,9.0,0.0,1.0,0.0,1.0,123.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,23.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,10.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0
chocolate_mousse,0.0,2.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,12.0,0.0,2.0,0.0,5.0,54.0,5.0,12.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,10.0,9.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,2.0
churros,2.0,2.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,2.0,0.0,14.0,11.0,1.0,57.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,16.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0
clam_chowder,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,4.0,5.0,3.0,121.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,31.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
club_sandwich,0.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,21.0,0.0,15.0,0.0,0.0,4.0,2.0,8.0,2.0,0.0,31.0,5.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,20.0,0.0,4.0,0.0,6.0,1.0,1.0,3.0,8.0,6.0,2.0,0.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,5.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
crab_cakes,1.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,9.0,3.0,0.0,0.0,0.0,3.0,0.0,8.0,9.0,0.0,3.0,3.0,0.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,12.0,6.0,1.0,12.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,7.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,2.0,8.0,1.0,0.0,3.0,3.0,9.0,1.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,2.0,0.0,10.0,7.0,12.0,3.0,7.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
creme_brulee,5.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,10.0,9.0,2.0,21.0,3.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,15.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0
croque_madame,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,10.0,2.0,15.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,8.0,16.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,5.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,11.0,1.0,5.0,3.0,4.0,17.0,4.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,2.0,4.0,2.0,0.0,4.0,0.0,10.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,9.0,5.0,1.0,7.0,9.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0
cup_cakes,0.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,23.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,11.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,12.0,2.0,11.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,4.0
